,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,0.0018503999245433427,0.007080282045261355,0.007337241297207803,0.013294000393014123,0.0013746420728032447,0.007695257261319355,0.007659167385781663,0.013851213202772985,0.001408802765929341,0.006977849544296169,0.0069775397764624755,0.01329571507689404
1,1800,0.003284152128139024,0.009894148364048196,0.012563942036930002,0.03404754171693302,0.002064563092525061,0.011811871111109748,0.014391886891244729,0.03418068887048742,0.001993910319529393,0.009355784381459087,0.011200176417785153,0.03374905219599026
2,1900,0.004659616847325911,0.013031234234802192,0.01635842367921983,0.04682531931698624,0.0028604808730243528,0.01501165794456475,0.01880182327713386,0.048097925658590064,0.0027712077255666076,0.012081587490141016,0.014441814221222534,0.04594410381086041
3,2000,0.003723372274724959,0.012658460250961127,0.015948603604867533,0.04318654972938199,0.001610569736965686,0.013050649382821583,0.017210073882535096,0.047991781460659765,0.0016606776791360366,0.011316675444622247,0.014594271267327163,0.041768378536059685
4,2100,0.006053359444063235,0.01830498982102866,0.02358558408973172,0.06761749077999618,0.003011640589527741,0.018839577421323316,0.02596722220857128,0.07288513236780159,0.0030444262418681625,0.016357843754907758,0.02111975708431466,0.06483549935085828
5,2200,0.012317146456797155,0.029465490768633102,0.042734763003047974,0.11962507508538371,0.00768848089486607,0.030281060963700115,0.04639693646666209,0.12338333677667648,0.007602194058246848,0.026364005755728177,0.03783562359076779,0.1137237864966022
6,2300,0.022850688569106426,0.04323183464004234,0.0698769768096042,0.17609254017182804,0.017198000174413038,0.04489688189428702,0.07355189472889885,0.1750575465255419,0.016842459433935367,0.03920578002549943,0.06256484797381584,0.16742303382330997
7,2400,0.03618537967275324,0.05442910564455021,0.10246935447785778,0.2293488482254263,0.03003281446142834,0.057170668121631615,0.10337972853193331,0.222342137475409,0.02930156179470723,0.0495354082955629,0.09371422642396168,0.21884539814925194
8,2500,0.06382230553015851,0.07920608745349952,0.15733940037757016,0.3032238890072207,0.057608904089882104,0.08425191875641291,0.15315505344136662,0.2885664350366281,0.05621023206416137,0.07350406839459103,0.14764648970727498,0.29142257765904683
9,2600,0.10581506962250188,0.12094867133827693,0.24117457317440613,0.38355428502366773,0.09879259725244725,0.12922581247112896,0.22347670258946392,0.35877400447426777,0.09793229701171588,0.11491501909327688,0.2332405758674495,0.37061012049146
10,2700,0.2047099957095656,0.22488164228144353,0.3745837677222077,0.50895119842973,0.19803716502794444,0.23735015100055898,0.34766547929161745,0.4803676550352783,0.19713078430713868,0.21919329799949613,0.3686077766729695,0.49759599064109344
11,2800,0.3599003152158344,0.37475518462712953,0.538169379731868,0.6515080360721259,0.3541914140382511,0.39007708465133845,0.5054291661598987,0.6229662132447975,0.3533076345956404,0.36960104109286107,0.5346483957238115,0.6424707960130963
12,2900,0.6198162770137878,0.6379751910755072,0.7515989304858713,0.8167595668033146,0.6163925127641983,0.6500349520801048,0.72657880161039,0.7983453690667192,0.6159244389704862,0.6351452246389298,0.7504119503430989,0.8120322081576068
13,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,3100,1.5574130123937002,1.5719533335537597,1.302238979499197,1.2002755738808486,1.5639640949282998,1.5439231550853851,1.3635095536539292,1.2389726617677825,1.5645648059868456,1.5789047662471671,1.3008763101238818,1.2066266681030835
15,3200,2.3003610693021534,2.2616332017725163,1.6369645248884672,1.4200225710042944,2.315054503128742,2.1869651958182104,1.7869064816173652,1.5059354514589478,2.3151154156448537,2.274762790677727,1.6320884723767934,1.432161225355178
16,3300,3.2703497851399232,3.1531233232345937,2.0169538277057906,1.656123052830921,3.2964818681812584,3.0092392788895523,2.297381451649246,1.8075181649100305,3.295148622728206,3.1747807082336195,2.0052542285206973,1.6744767041016198
17,3400,4.494643069957015,4.266429759105945,2.442682700708142,1.9073333604000131,4.536707599862279,4.027258102048623,2.9011216151280106,2.144531165357949,4.532029078518217,4.2990674958286945,2.4202688820291236,1.932281247741289
18,3500,5.9956200681533005,5.5952562988731716,2.913511304934453,2.176478753889425,6.057532607959227,5.230431152976576,3.5985146326697017,2.5181427507668483,6.04724244621161,5.639806112851543,2.8761838840474794,2.2080390476100056
19,3600,7.650288739387703,7.073315759922935,3.3881282197217977,2.432804961960136,7.737492306354898,6.562550303415074,4.3385114743267,2.8946516062214873,7.718916724217053,7.132032149269355,3.331635695586898,2.4709283188895257
20,3700,9.779679771147356,8.961776535407017,3.9527823655469776,2.7258489507077144,9.90097194115805,8.256730109071107,5.255860026706384,3.3439803569305484,9.870337594287346,9.038087348615571,3.8692015789274348,2.771296613662564
21,3800,12.285338194029695,11.181103767178575,4.56326022598407,3.0257415275429422,12.449919791890485,10.241816822929964,6.296792140980065,3.831494971508854,12.403083108763918,11.27779115892052,4.4434308030783445,3.07878407436137
22,3900,15.24880825222724,13.691167167115266,5.231723393118589,3.3512865004103687,15.462355938721583,12.476047243847017,7.468750676851388,4.368905423581029,15.394384336417637,13.80777427089013,5.068951295799627,3.4117991659039966
23,4000,18.601783328326537,16.40569770593315,5.92636973310752,3.6845076948151267,18.869923400345474,14.87949356709144,8.727721898439961,4.930930413958353,18.774500208314336,16.540853304818597,5.714252819904396,3.7522066226361894
24,4100,22.539805903791176,19.403817093234252,6.678268567275608,4.046110433214831,22.86831333898265,17.51514948855308,10.126206754055675,5.542592320086549,22.737833479654416,19.55463798612585,6.411533987263867,4.120991178762168
25,4200,27.158336490855294,22.721734595351343,7.4810433006221935,4.427364341776969,27.554628590244945,20.411423815601488,11.673639913795059,6.1989637967041,27.379080297819694,22.884999870103123,7.153295580891056,4.509563284546106
26,4300,32.55865302473524,26.335588776623787,8.334653961654933,4.8312523420173275,33.02425129432899,23.541879413778677,13.373195406965735,6.899297240541866,32.79665664822687,26.50470378579501,7.941845952410642,4.9209299463650416
27,4400,39.61443469143319,30.74095059874412,9.338703812436226,5.299420207839586,40.1575350801413,27.33351097607484,15.454594536372834,7.7267867332400995,39.8619521650679,30.908891850169805,8.865918629781136,5.397738690959283
28,4500,49.13391353375458,36.214998474520556,10.547471992362034,5.855092048444016,49.75781010960752,32.00900817427156,18.068550757625594,8.72533011318167,49.37097002041937,36.367267673188515,9.97801200403671,5.963466596998037
29,4600,60.25222245777172,41.86763023084627,11.746457260540726,6.401016946434788,60.91321124571761,36.80023995486356,20.822805142985725,9.72333405597694,60.43811161706034,41.98012731300286,11.074402903847457,6.520044645629119
30,4700,72.13407857474695,47.40943924485789,12.949680143161155,6.95961180825609,72.77140325087328,41.490170026893566,23.605260141344367,10.720197372045241,72.22856364111044,47.46296121043119,12.179869719548114,7.09001550940396
31,4800,86.26710221834709,53.471821168509706,14.267706638427292,7.573975019462873,86.82059875858542,46.603431411752986,26.724524497606907,11.810010268949169,86.216783875614,53.44335270771802,13.395343511691948,7.717250443940375
32,4900,100.37726178420527,59.28674900680375,15.528273948277837,8.158022688077496,100.80865057034066,51.497992759208906,29.747500285011995,12.849238946342998,100.15420575628161,59.175484232071945,14.561422523409469,8.313057277778361
33,5000,117.77238199733604,65.98822031017126,16.96077302253012,8.817962308910463,118.0009598848733,57.11981132704897,33.28939375612669,14.031293281322748,117.29695740491793,65.77092441827266,15.887615378096042,8.986496267365466
