,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,0.0001506185580990014,0.0006332364132103913,0.0016078945608729823,0.00439363384876088,0.00011041372922728759,0.0007513566581361593,0.0012163602060063477,0.0036150936659896846,0.00011358488478835496,0.0006187248412360271,0.0015703045879838025,0.004318495469563568
1,1800,0.00026732289142312934,0.000884899073478939,0.002753281955166293,0.011252627300449347,0.00016582942918795808,0.0011532984152445157,0.002285590276607845,0.008920979702350219,0.00016075924849044283,0.0008295759559316577,0.0025206145688205237,0.010961811994883336
2,1900,0.00037928274938253995,0.0011654693942698714,0.0035848106110784256,0.01547565080848489,0.00022975898004480209,0.0014657221666917331,0.0029859367843461083,0.012553305176242724,0.0002234289411161403,0.0010712724965282504,0.0032501494591110672,0.014922808063566639
3,2000,0.00030307446290199854,0.0011321297534255283,0.00349500199748705,0.014273046569331945,0.00012936386449772665,0.0012742513958659213,0.002733149435016356,0.012525602099840537,0.00013389232859067237,0.0010034478636067818,0.0032844601196932027,0.013566517666466646
4,2100,0.0004927303871052558,0.0016371362078547022,0.005168581873860912,0.022347411424433552,0.00024190040095595122,0.0018394761151306858,0.0041238811171126905,0.019022635527327653,0.00024545721536905574,0.0014504474789789855,0.004753029364085787,0.02105880041759897
5,2200,0.0010025891239024188,0.0026352935615468654,0.009364962962162033,0.039535787837940484,0.0006175526447868461,0.00295661028577519,0.0073683449330821695,0.032202400810691326,0.0006129277689734417,0.002337692317956673,0.008514957308338372,0.036937889683020995
6,2300,0.001859996705683786,0.0038665086685758755,0.015312950248094863,0.05819814368440923,0.0013813743752482093,0.004383683351353181,0.011680851627643351,0.045689097291599395,0.001357925226029859,0.0034763704588099595,0.014080302078851284,0.05437959589876026
7,2400,0.0029454117665509805,0.0048679546114511,0.022455294987206255,0.07579922017055746,0.0024122897949102324,0.005582082662680966,0.016417840420541934,0.058030126394202214,0.0023624417846561867,0.0043922970019161355,0.021090511043637232,0.07108176243072417
8,2500,0.005194997852087965,0.007083923832815503,0.03447960286850391,0.10021473620499702,0.004627251022726015,0.008226266902937075,0.02432271067749249,0.07531431913193659,0.00453195641529191,0.006517594390498241,0.03322803847985832,0.09465508805436328
9,2600,0.008613118169911255,0.010817238964664126,0.05285137406828396,0.12676373098370156,0.007935199495566057,0.012617469605764752,0.03549056370069108,0.09363812484216351,0.007895802693002817,0.010189496992270626,0.052491101179265316,0.12037548315834243
10,2700,0.01666295159941535,0.02011265139507688,0.08208687411453254,0.16820709693700261,0.015906702078268817,0.023174613948295373,0.05521311034375433,0.12537342698015028,0.015893692123037352,0.019435835875194266,0.08295566939347933,0.1616209447050324
11,2800,0.02929510848881109,0.033516832723366696,0.11793528159262741,0.21532177489105753,0.028449292843553985,0.03808670779758642,0.08026772280928923,0.1625908993427366,0.028485468612719052,0.032772467222051155,0.12032333109664155,0.20867679593488983
12,2900,0.050451706515902014,0.05705833738420736,0.1647065679502835,0.26993699209547667,0.04950975773881679,0.06346871490854722,0.11538872259761486,0.20836393496618066,0.0496589786240551,0.05631822895891648,0.16888120544675175,0.26375094470567767
13,3000,0.08139784059717378,0.08943660848005336,0.21914156775583607,0.33049749653006594,0.08032180260722409,0.097638926499949,0.15881102275743136,0.26099473115221056,0.08062511483885874,0.08866984553167745,0.22505132730034066,0.3248035509627057
14,3100,0.12677005612678666,0.14059017484196235,0.2853746915602141,0.39668807231380865,0.12562041531761678,0.1507469994609513,0.21654034675530923,0.32336533676302104,0.12614321715552618,0.14000124173236558,0.2927639402469492,0.3919166264861797
15,3200,0.18724442363500093,0.20227280319241805,0.35872697234474604,0.4693139047331071,0.18594935082527206,0.21353293401244083,0.283780445917537,0.3930412182861109,0.1866564462515785,0.20170286527060152,0.36730367697998273,0.4651710515464616
16,3300,0.266199410507821,0.2820046561494571,0.4419984238945814,0.5473445229063495,0.26477936591434836,0.29381889277225653,0.3648494980003691,0.4717527175034304,0.26567173611856887,0.28150731499602455,0.45128512570320356,0.5438759794965339
17,3400,0.365854240149553,0.3815750079728068,0.535293316563242,0.6303689006604823,0.36439653232283137,0.3932171578222496,0.4607300908421705,0.5597113349501346,0.36539536490857843,0.3811976507853857,0.5446847243243659,0.6276118107250183
18,3500,0.4880305265887586,0.5004207469478723,0.6384714350376878,0.7193207794113325,0.48655193842332434,0.5106936829085233,0.5714837892218577,0.6572219902392815,0.4875596166842321,0.5000807368551565,0.6472890006647344,0.7171789233280407
19,3600,0.6227169833310339,0.6326133722760187,0.7424797298276246,0.8040359494737472,0.6214893297059532,0.6407603667273625,0.6890034444826747,0.7554888177450916,0.6223385473215872,0.6323961890026712,0.7497890353730252,0.8025662921496267
20,3700,0.7960448151032574,0.8015108992829265,0.866218924583587,0.9008862541280067,0.7952639138773613,0.8061782642495097,0.8346885063111412,0.8727612542353615,0.795797102037722,0.8014058091035509,0.870768950930193,0.9001269808885222
21,3800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,3900,1.241220063411661,1.2244915575602495,1.1464880664328898,1.1075917985406325,1.241964301552634,1.21814785985187,1.1861199337110266,1.1402612964569652,1.2411740049972004,1.2243332117360979,1.1407742171404878,1.1081644842572156
23,4000,1.5141449941822882,1.4672699625676529,1.2987139544139177,1.2177205690821638,1.515666262575988,1.452817778753705,1.3860584410336807,1.2869468577213186,1.513696235337521,1.4666749075004015,1.2860001816491988,1.2187300349780155
24,4100,1.8346915280480307,1.7354115923861588,1.463486243727298,1.3372293688616823,1.836824149973914,1.7101603935484535,1.6081532512647907,1.4465873924672956,1.8332404354839844,1.7339067296576514,1.4429242338649786,1.3385125683479384
25,4200,2.210629944567047,2.0321548809921217,1.6394075573476419,1.4632328311837717,2.213237438541028,1.992949509690822,1.8539026940117662,1.617896889543073,2.2074414931940476,2.029209403474502,1.6098586650511935,1.4647221681116176
26,4300,2.6502040489660894,2.355365742506589,1.8264691358594518,1.5967168041417448,2.652567393714458,2.2986038337525985,2.123810840115212,1.8006802284344126,2.6442342085939115,2.3501679905493096,1.7873229728048532,1.5983355206180825
27,4400,3.2245294403604303,2.74936636300454,2.046498194264678,1.7514451117518248,3.2255256058997865,2.668814669178521,2.4543599646227805,2.016650626112467,3.2138744710096936,2.7406866659098803,1.9952867553690623,1.7532046939923618
28,4500,3.999394461735875,3.238946639671425,2.311389548266988,1.935093263963843,3.9966370017916346,3.1253251964639674,2.8694850255630815,2.277265187104137,3.9805401276021644,3.224680006990792,2.245564845327194,1.936955126752445
29,4600,4.904400799243157,3.744498852943844,2.574137059651818,2.1155200760432247,4.892658929850673,3.593135924133409,3.306890981436265,2.5377389578428344,4.872829689769253,3.7223714042441167,2.492309072569617,2.117733653335714
30,4700,5.871558229451261,4.240139456001232,2.8378132085089547,2.3001342794497233,5.84513028736735,4.051055661726248,3.748775505502128,2.7979150310155823,5.823436238210347,4.208533439004932,2.741095846729531,2.302862213835063
31,4800,7.021955835149114,4.782338334563432,3.1266476010253066,2.503179782713737,6.973586995728104,4.550309014257564,4.244149068170982,3.082350455049234,6.951238101008443,4.738813829288312,3.014639836950279,2.506590347860351
32,4900,8.170492354291525,5.3024057589766995,3.402890297567712,2.6962060750450916,8.097132532211532,5.028208729911304,4.724230944739736,3.3535836643113037,8.074944340694893,5.247081046120034,3.277067466274377,2.7001105231787754
33,5000,9.586417576568618,5.901762624176292,3.716810390508141,2.914314467591388,9.478049807335761,5.5771170598526885,5.2867226693853295,3.6620936176766485,9.457080661020232,5.831897708643869,3.575528928477818,2.9188458983534034
