,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,2.1449658988890946e-05,0.00013241146253367242,0.0005142551275512192,0.0017552210508817996,1.5833132833206944e-05,0.000165122117153345,0.0002865969565320991,0.0011728366773050604,1.634023797456697e-05,0.00013056534051031688,0.0005208929334564824,0.0017228564983703366
1,1800,3.806957743667618e-05,0.00018503481175380273,0.0008805859522715072,0.00449533324699922,2.3779645867979027e-05,0.0002534549657244959,0.0005385273325455603,0.0028942133065163493,2.3126707236099547e-05,0.00017505983265357476,0.000836124613602423,0.004373196443623284
2,1900,5.401383293868093e-05,0.00024370283169776282,0.001146534905277741,0.006182396851938254,3.294703001275361e-05,0.0003221148634299692,0.0007035419200374361,0.00407264046036005,3.214232311848541e-05,0.00022606342749893112,0.0010781219763880776,0.00595342915778196
3,2000,4.316097537739109e-05,0.00023673142179073318,0.001117811292945502,0.005701966222281608,1.855054860245849e-05,0.00028003623311587995,0.0006439805461861894,0.004063652813820116,1.9261651902162305e-05,0.00021175085153270987,0.001089503322896404,0.005412339386867564
4,2100,7.016996384950811e-05,0.00034232964991678125,0.001653074645241761,0.00892760942652164,3.468808822549072e-05,0.0004042530099311987,0.0009716626468282554,0.0061714707022254576,3.5311294448890523e-05,0.00030607817298381135,0.001576649159155983,0.008401372978865477
5,2200,0.00014277918395382908,0.0005510470772217823,0.0029952089768898247,0.015794226252130842,8.855595336591457e-05,0.000649760329795447,0.0017361183159991034,0.01044735220096086,8.817533798540463e-05,0.0004933074820345398,0.0028245355229407497,0.01473630891244416
6,2300,0.0002648829968957343,0.0008084975169220937,0.004897561926413888,0.023249685894041416,0.00019808663405137343,0.0009633814621419574,0.002752224636793264,0.01482281069524575,0.00019535012415023727,0.0007335950691551118,0.004670641549371761,0.021694648248039093
7,2400,0.0004194574610975795,0.0010179025972020617,0.007181907861903784,0.030281173047979122,0.0003459180757891109,0.0012267480395706154,0.003868346789152062,0.018826582908229136,0.00033985913736913394,0.0009268768852596563,0.006996030101218716,0.028357949471639925
8,2500,0.000739822062976226,0.0014812678102713486,0.011027658779709354,0.04003497347535806,0.0006635395852321893,0.0018078479675032106,0.005730880392468018,0.02443405454060661,0.0006519639162747773,0.0013753640943259151,0.011022224967833316,0.03776248804881968
9,2600,0.0012265981689599096,0.0022619141950883334,0.016903527615633008,0.050641081339461345,0.0011378935260185354,0.002772881922135444,0.008362233072078628,0.030378805462816145,0.0011358843673988583,0.002150220996084354,0.017412063801414916,0.048023596381074424
10,2700,0.0023729786957655376,0.004205610307768598,0.026253957781367552,0.06719736956114539,0.002280992850309745,0.0050929758562950215,0.01300922975534138,0.04067461789582512,0.0022864548576938533,0.004101413681852362,0.027517605379155458,0.0644784038377047
11,2800,0.004171930040085334,0.007008461212610204,0.037719403220866164,0.08601930088202604,0.004079578108221999,0.008370136550781202,0.01891255974283689,0.05274899843928991,0.004097898561205457,0.00691575326709406,0.039913003743215,0.08325125647795553
12,2900,0.0071848510159179405,0.01193105409791465,0.05267832802656496,0.10783763673691614,0.007099611400724705,0.013948220815263219,0.02718771672347071,0.06759904105805273,0.007143904136566819,0.011884456952252648,0.0560203588424673,0.10522299542516708
13,3000,0.011591904379365166,0.018701438966303878,0.07008834883853685,0.1320310665707632,0.011518003956418384,0.02145764742438705,0.03741881357288683,0.08467393145535156,0.011598669714271785,0.01871140093827955,0.07465280745709607,0.12957982992313086
14,3100,0.01805338271884683,0.02939778932533356,0.09127177986627996,0.15847366419832332,0.018013744633080454,0.03312895871216944,0.051020909793026516,0.10490868623757968,0.018146870431215135,0.0295435201246113,0.09711406870517574,0.15635447843351163
15,3200,0.02666556555336477,0.042295795287115134,0.11473214065669264,0.18748709460425428,0.02666480692636105,0.046927128101272746,0.06686392050782332,0.12751347519301884,0.026852259056483696,0.042563998615850626,0.12183998648129081,0.18557920800402666
16,3300,0.0379095819964194,0.058967943382701005,0.1413649634674656,0.21865969303769486,0.0379688911999732,0.06457119546202875,0.08596528824507127,0.15304966919989477,0.03821934053446203,0.05940459472287437,0.14969785782428333,0.21697840652773262
17,3400,0.05210147268631802,0.07978837574394239,0.17120359722909156,0.2518272578796116,0.05225381608432708,0.08641548444076552,0.10855652886874738,0.18158588489938415,0.052565508417208306,0.08044157557517616,0.1806798668445213,0.2503846754459713
18,3500,0.06950065452503593,0.10463934417420395,0.20420319668526665,0.28736281124462637,0.06977068454460775,0.11223274755810161,0.1346521481791729,0.21322104667322253,0.07013996781573341,0.10552867339172513,0.2147152017069992,0.2861173242529364
19,3600,0.08868141554151633,0.13228118297359412,0.2374683125735522,0.3212058338862417,0.08912046699735253,0.14081689061548494,0.16234195204166119,0.24510153169232152,0.0895291656361623,0.13345031304967855,0.24871595809983704,0.3201824713139524
20,3700,0.11336511276795196,0.16759811690656856,0.27704398931927343,0.35989674427273516,0.11403943399064584,0.17717000355876864,0.1966680465045142,0.2831479635307793,0.11448278572449887,0.16911527609513796,0.28884676048436186,0.3591041438649435
21,3800,0.14241046561335496,0.2091027296778005,0.31983137455979205,0.3994918810489449,0.14339822542008615,0.21976529437158712,0.235618491230552,0.32442774258906487,0.14385926441721597,0.21102327207274624,0.33171458419113736,0.39894831672579023
22,3900,0.17676272715909264,0.25604452715326975,0.36668285420362934,0.44247393103338134,0.1780954768777445,0.2677066230084651,0.27947178919947446,0.3699323983712137,0.1785543793726672,0.25836280044788584,0.37841144509472713,0.44210035564971967
23,4000,0.2156300936276303,0.3068101543471404,0.41536946920018636,0.4864694807346252,0.21734385238249102,0.31927892681608333,0.32658099863372686,0.4175212638826179,0.2177592269667648,0.30950253804772715,0.4265850155254911,0.4862102959976427
24,4100,0.2612792747661977,0.3628793010824443,0.4680688169806485,0.5342122759604468,0.2633973235150175,0.37583390231080516,0.3789106427305168,0.4693130821959664,0.26372862054862267,0.3658946715613123,0.4786390122558368,0.5339973360587243
25,4200,0.31481683970461827,0.42492913274351846,0.5243339725302074,0.5845496361421781,0.3173743211200804,0.43798113566491376,0.4368137556513081,0.5248906356163289,0.3175609094549366,0.42821040804197497,0.5340135976839562,0.5843484434390798
26,4300,0.37741679258365934,0.49251340614770717,0.584162134312964,0.6378753995890453,0.38037345706583625,0.5051533481682985,0.5004091058070373,0.5841906216357382,0.3803975881951594,0.49594013928634634,0.5928810967392294,0.6376532655136236
27,4400,0.45920673898569975,0.5749000113885758,0.6545343305058041,0.699688102247716,0.4625346479330776,0.5865128413952275,0.5782925918010905,0.654257410220492,0.46234561732872365,0.5783486679664485,0.6618657163993321,0.6994380615440069
28,4500,0.5695556274672791,0.6772725836360343,0.7392548963653675,0.773054048026058,0.5731106537051741,0.6868380118078422,0.6761037323318352,0.7388080039288596,0.5726375747400584,0.6804825264627632,0.7448866089419458,0.7727449873912776
29,4600,0.6984380013747282,0.7829849314259507,0.8232897940937424,0.8451330945753147,0.7015986081263244,0.7896465740843034,0.779164663709932,0.8233129213732769,0.7010016948005755,0.7855069935936168,0.8267352676832298,0.8448662762718413
30,4700,0.8361713413320802,0.8866247344644017,0.9076216992213527,0.9188849699625293,0.8381813105576762,0.8902814400149535,0.8832808285684612,0.9077212574683988,0.8377552536094998,0.8880984969263882,0.90926146902594,0.9187230038609252
31,4800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
