,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,0.00012134718293628444,0.000517142326789161,0.0014024520690177642,0.003966834942755941,8.89024983159778e-05,0.0006168025105158632,0.0010254951218977562,0.0031704081136688152,9.151407001036181e-05,0.0005053565772006451,0.0013765253144658138,0.003896980575458691
1,1800,0.00021537106859871103,0.0007226665369927623,0.0024014920309922455,0.010159543719334013,0.00013352189670882443,0.0009467638972700405,0.001926947024199225,0.007823627558060247,0.00012952192669456162,0.000677573676822279,0.0022095648121666016,0.009891863663390059
2,1900,0.0003055725254231148,0.0009517986359922503,0.0031267753376901493,0.013972341460884479,0.00018499644454963022,0.0012032383054631551,0.0025173987043653964,0.011009147828877923,0.0001800141964112794,0.0008749844292871805,0.002849073383914678,0.013466239241162066
3,2000,0.00024417464061043086,0.0009245713018073001,0.003048441671408912,0.012886558557167152,0.00010416069474460998,0.0010460564253840854,0.002304277465825164,0.010984852453345784,0.00010787555012560418,0.0008195872283688997,0.0028791500284133065,0.012242332125956969
4,2100,0.00039697262526591754,0.0013369926462511762,0.004508186369477102,0.020176577195568434,0.0001947724267545701,0.0015100598012415102,0.003476782574769027,0.016682698594116138,0.00019776213035464712,0.00118468360171514,0.004166494379580149,0.019003316490254003
5,2200,0.0008077448580283718,0.002152153312349154,0.008168391138426398,0.03569526958400468,0.000497238643666985,0.0024271358044619653,0.006212141558087424,0.028241246906082887,0.0004938290412993497,0.0019093595563268576,0.007464191581820915,0.03333249730321384
6,2300,0.0014985229134721956,0.0031576442031823722,0.013356397416100984,0.052544758602484545,0.001112249662507443,0.003598646351425884,0.009847951539855957,0.0400689714134516,0.0010940651516730098,0.002839398968750088,0.012342759739210759,0.049071772892279625
7,2400,0.002372997225371235,0.003975490546582702,0.019586156755274593,0.06843606125508586,0.0019423181422320455,0.004582434404440658,0.013841636038587813,0.0508919548304535,0.0019033928966805226,0.0035875013107648053,0.01848789245649642,0.06414369296302534
8,2500,0.004185396292909423,0.005785196140453544,0.030074105329139234,0.09047984676036817,0.0037257520340490346,0.006753093917463689,0.020506114083584916,0.06605005305885084,0.003651346545323541,0.00532338282423649,0.029127620505965773,0.08541609968470432
9,2600,0.006939235373167378,0.008834065778466486,0.046098494712397985,0.11444986424667097,0.006389233157221923,0.010357913042919987,0.029921564162277717,0.08211988351539871,0.00636155983062232,0.008322486799016073,0.04601357603509106,0.10862600712116138
10,2700,0.01342465537788277,0.01642530834197872,0.07159854211996504,0.15186740923744013,0.012807696693361596,0.019024467153858863,0.046549348657355806,0.10995148863660657,0.012805369802337426,0.015874629299350913,0.07271874499532385,0.14584562761309236
11,2800,0.0236018650941635,0.027372040677967308,0.10286655835813777,0.19440535328517813,0.022906691285722362,0.031266079474307706,0.06767251820661567,0.14259091301962204,0.02295042314617547,0.02676760452783926,0.10547514949824956,0.18830850374596012
12,2900,0.04064686674273431,0.046597575158373344,0.14366182498762595,0.24371523195742936,0.039864074737834626,0.05210263630579721,0.0972825085542546,0.1827334976760255,0.040009683109796614,0.04599910254746543,0.14804086813083522,0.23800703636740858
13,3000,0.0655788953116346,0.07303979184491255,0.19114160380025516,0.29839287088034666,0.06467319753620154,0.08015359195543154,0.13389120125530438,0.22889028327382224,0.0649587523701325,0.07242296842208835,0.19727946505002866,0.2931004878580062
14,3100,0.10213342489674396,0.11481514427268298,0.24891204707268413,0.35815367433786205,0.1011465588508246,0.12375098658325641,0.18256193206180849,0.28358880352054927,0.10163217779912391,0.1143489700274034,0.2566361825574946,0.3536628650834943
15,3200,0.15085513774272577,0.16518921828700767,0.31289202465130433,0.4237246116768623,0.14972197718791808,0.17529311592634328,0.2392510553546385,0.34469399207652995,0.15038700899315044,0.16474507375699457,0.3219775407448123,0.4197671538429226
16,3300,0.21446592619211774,0.2303034711903936,0.3855237894187483,0.49417531226534256,0.21319402303539325,0.24120133725637022,0.3075991623029725,0.4137233447888362,0.21404874340658472,0.22992704297945873,0.39559548149187107,0.49078993887905104
17,3400,0.2947537273478751,0.3116191415260386,0.46689828898849295,0.5691346771356188,0.29340338676988,0.322799202610811,0.38843465803721816,0.490862345928321,0.2943949546457047,0.311351229494828,0.47746935032393645,0.5663525763918487
18,3500,0.3931861407777608,0.40867635538863223,0.5568932235153456,0.6494457437831451,0.3917600029365292,0.41923784438666173,0.4818094469029367,0.5763784075469458,0.3928213245856143,0.4084515000177482,0.5674120180304004,0.64717732206402
19,3600,0.5016974843440832,0.5166335107581106,0.6476122617985277,0.7259316568912376,0.50040836836373,0.5260119792069253,0.5808885129575235,0.6625576261270608,0.5014112000540899,0.5165229391318534,0.6572633077669634,0.724230295728683
20,3700,0.6413405958933831,0.65456629270675,0.7555411608240158,0.8133738939878554,0.6403275141509035,0.6618065760486112,0.7037134126054538,0.7654046111599304,0.6411648155969212,0.6545651146448618,0.7633140176615306,0.8122683894637379
21,3800,0.8056589072942995,0.8166654917510906,0.87222887815251,0.9028597009454241,0.8051761220107987,0.8209184065074026,0.8430850638107807,0.8769919693908871,0.8056888042883686,0.8167711129734081,0.876597651818115,0.9023931142047776
22,3900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,4000,1.2198844014980357,1.1982687455119165,1.1327758154994614,1.099430828836614,1.2203782835635348,1.1926448558801157,1.168565169204352,1.128642059254433,1.2195681099048923,1.1979376965692732,1.127304739471357,1.0997735916387088
24,4100,1.478135571709285,1.4172507614865857,1.276494964557892,1.2073305080658967,1.4789669458917776,1.403902145143869,1.3558099864600908,1.2686455262159217,1.4770212944381795,1.416204929374562,1.264863995157493,1.2078645249537314
25,4200,1.781013705571945,1.65959076519981,1.4299386145800805,1.3210939563761062,1.7820459378535782,1.636048935745099,1.5629976710798883,1.41888257943177,1.7785108971880432,1.6573996229319745,1.4111983255429217,1.3217551987270162
26,4300,2.1351604981969476,1.9235459223578162,1.5930991253508742,1.441611256281949,2.1357839274432986,1.8869661963959898,1.7905531976605613,1.5791820997779278,2.1304298977804295,1.9195493253154376,1.5667631210013069,1.442326967994666
27,4400,2.5978708654590834,2.24531263284701,1.7850148241246175,1.5813092098185775,2.5971161988049216,2.190879085485612,2.0692342273886224,1.768586404167738,2.589382679680713,2.238513698426592,1.7490636844603058,1.5820798436502015
28,4500,3.222147771880998,2.645135950242807,2.016060712658352,1.7471177256038999,3.2179966821874535,2.565636980098635,2.419219965880931,1.997143281263764,3.207076615829658,2.633825478292967,1.9684568704191268,1.7478949689050485
29,4600,3.951274188851531,3.058002997100779,2.245236679750906,1.9100178232004266,3.9394521434586687,2.949671417204102,2.787990394099489,2.225576686438565,3.9259843262510516,3.040325434744855,2.1847522806195103,1.9110282664898757
30,4700,4.730473187254555,3.462775573928448,2.475222631264141,2.0766985476782955,4.706359337430308,3.3255861584971025,3.1605366362685534,2.45374901323872,4.691877379613249,3.437408540961863,2.4028381826514944,2.0780870047271307
