,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,5.683281563084226e-05,0.0002688484432725504,0.0008803294451052312,0.002751667570206674,4.16252305177711e-05,0.0003268752305652983,0.000572725302569961,0.002007626678465171,4.295568237457848e-05,0.0002632683466561092,0.0008785790883219708,0.0027018704232347843
1,1800,0.00010086879594324771,0.0003756949748862468,0.0015074341532033205,0.007047353213331887,6.251657529264238e-05,0.0005017386634049469,0.0010761741269217067,0.004954227608811196,6.079614580583147e-05,0.0003529858117664853,0.0014102736926527124,0.006858267149468318
2,1900,0.0001431145460405238,0.0004948146155125677,0.0019626998018729617,0.009692170063183651,8.661758437853099e-05,0.0006376575837772184,0.001405933488965584,0.0069714238974885046,8.449665328055416e-05,0.00045582805179720777,0.0018184455235925236,0.009336467763536865
3,2000,0.00011435891625787661,0.00048065985379438847,0.0019135291852837492,0.00893899690434077,4.8769303582735793e-05,0.0005543588578226788,0.0012869081291948246,0.006956039113469261,5.063557840508783e-05,0.00042696856890312926,0.0018376421999091112,0.008487903504278265
4,2100,0.00018592167923729577,0.0006950666634526389,0.0028298216336564686,0.013995851591507217,9.119481809554023e-05,0.0008002580036280715,0.0019417365422661557,0.010564138611032975,9.282733525317305e-05,0.0006171675747485478,0.0026593007735064463,0.0131754566834975
5,2200,0.00037830638900938733,0.0011188468584680934,0.005127359000104492,0.02476067624226668,0.00023281317799887127,0.0012862635319581624,0.003469397930317774,0.01788346442760104,0.00023179783658398774,0.0009946915826260908,0.004764084296961626,0.02311022260753923
6,2300,0.0007018315085622999,0.0016415746390457061,0.008383908573899496,0.03644863230188867,0.0005207688138373123,0.0019071069520477455,0.005499949151314102,0.025373243161182165,0.0005135419629685316,0.001479200837042045,0.007877872266563559,0.03402264117719881
7,2400,0.0011113905616814898,0.002066751045750799,0.012294374181494084,0.04747192487355357,0.0009094169673601549,0.002428466611215864,0.007730368501015516,0.03222678045654784,0.0008934313673796808,0.0018689289529849797,0.011800055929757233,0.04447236610448136
8,2500,0.0019602256113504407,0.0030075685083526624,0.018877736388509737,0.0627629996409186,0.001744442397086981,0.003578810224773373,0.011452390306178605,0.04182548236086206,0.0017139012877765496,0.0027732461750425213,0.018590953613556158,0.059221037656574
9,2600,0.003249983024239755,0.004592594164655031,0.028936363079255952,0.0793902404326725,0.00299151663945254,0.005489188445825409,0.016710793179097717,0.05200152884644957,0.0029860451344820398,0.0043356462317781005,0.029368559559714506,0.07531302508486627
10,2700,0.006287422134879004,0.008539077830720642,0.04494292977795448,0.10534560449335036,0.005996719297674188,0.010082039196141741,0.025997188309274825,0.06962559204037867,0.006010697566570294,0.008269977275391062,0.04641336269700415,0.1011182837521705
11,2800,0.011053906773797225,0.014229990747720545,0.06457009279663109,0.13485282695875156,0.010725191341402908,0.01656949633439345,0.037794195835696404,0.0902941548284228,0.01077267229965472,0.013944733888742643,0.06732041882045396,0.13055881774697325
12,2900,0.019036913982372217,0.02422483113959434,0.09017758073025428,0.1690575256647162,0.018664844428132328,0.027611854629569204,0.05433097920874878,0.11571401278023755,0.018780098397736703,0.023963490774016157,0.09448835382098054,0.16501600652889462
13,3000,0.030713801312366538,0.03797143130088773,0.11998098596542568,0.20698566938907648,0.030280777332012447,0.04247749223516609,0.07477644419067765,0.14494229848857196,0.03049091286120667,0.03772915208114653,0.12591531062075856,0.2032136224045768
14,3100,0.047834073823954354,0.05968931801323804,0.15624391672292343,0.24843984311108536,0.04735804851378622,0.06558198383183257,0.10195839604225883,0.1795795453611264,0.04770500916505563,0.05957073804738648,0.16380024466843482,0.24520297611519265
15,3200,0.07065283282924938,0.08587744974891184,0.1964046176865429,0.29392432240692123,0.07010164992071415,0.09289679712394651,0.13361851279662107,0.21827374570988517,0.07058998240206349,0.08582487127801323,0.20550492695988326,0.2910346704718032
16,3300,0.1004448735227282,0.11972860565142918,0.24199610889488007,0.342793738680889,0.09982003342941309,0.12782493810278775,0.17179001590394785,0.26198583738190545,0.1004720895203309,0.11978178416523631,0.25249220905777314,0.34027647667256683
17,3400,0.13804757422066494,0.16200244449795437,0.2930754788316517,0.3947906723505134,0.13737503265187828,0.17106782475878007,0.21693555854398827,0.31083327628735685,0.13818570371755373,0.16220017135723458,0.3047489080664531,0.3926658718579428
18,3500,0.184148283517698,0.21245989016352199,0.3495659589874497,0.45049991178490567,0.18342679608301798,0.22217559868713327,0.2690841285991628,0.3649853982184822,0.18438594247802845,0.21278510253995572,0.36215558716225815,0.4487036132755811
