,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,4.671024435806225e-05,0.0002303208556455834,0.0007856809086756664,0.0025085763860257623,3.4231236306210254e-05,0.0002815319725319975,0.0004955916098449294,0.0017926226879261505,3.5342041455860075e-05,0.0002257554097416739,0.000787006972184982,0.002463200951013643
1,1800,8.290291540747992e-05,0.0003218556411346762,0.001345362513821112,0.0064247673106891025,5.141159905369861e-05,0.0004321388174921523,0.0009312367825226995,0.004423661484462159,5.0020388145383156e-05,0.00030268909111368515,0.0012632843685439555,0.0062524427595053505
2,1900,0.0001176242166175244,0.00042390472581334444,0.0017516803196430258,0.00883593251346934,7.123148538165424e-05,0.0005492034286303187,0.0012165847012604069,0.0062248289384869565,6.952012069281171e-05,0.00039087740669274895,0.0016289134633732866,0.008511731753115905
3,2000,9.399029176428348e-05,0.0004117784259891518,0.0017077962772123682,0.008149297099613817,4.0106289734952995e-05,0.0004774596792283611,0.001113589479298903,0.006211091766542806,4.1660721287788134e-05,0.00036613009290270223,0.0016461093177986268,0.0077381253386752296
4,2100,0.00015280691220799633,0.0005954594592717795,0.0025255736302850847,0.012759412941054885,7.499565358076615e-05,0.0006892483529764504,0.001680226689057204,0.009432786860061094,7.63742385034538e-05,0.0005292277650781548,0.0023821284591279876,0.012011603944342803
5,2200,0.0003109257156573989,0.0009585094213006176,0.004576091485644792,0.022573238277730622,0.0001914579886320806,0.0011078364938263978,0.0030021451780870446,0.01596825964483916,0.00019071303951111694,0.0008529586205654714,0.004267535623852415,0.021068783245672695
6,2300,0.0005768273294089942,0.0014063271889129063,0.007482513442234882,0.033228642618550845,0.0004282633418632756,0.0016425581746006023,0.004759225132422099,0.022655930928241683,0.00042251968403832636,0.0012684304638143813,0.0070567812074946055,0.031017254337214993
7,2400,0.0009134392540146104,0.001770573277157338,0.010972545712543183,0.043278101986731286,0.0007478749480388343,0.0020915962157833797,0.006689255307774405,0.028775498166515794,0.0007350759359042374,0.0016026264718801545,0.010570165409500842,0.040543903786190674
8,2500,0.0016110871208256919,0.0025765659783056733,0.016848098359008176,0.0572183139126527,0.001434572714060103,0.0030823672388870585,0.009910001396731037,0.03734624042297368,0.0014101224102471305,0.0023780881162255977,0.016653264695135124,0.05398975281021901
9,2600,0.002671124059871663,0.003934447991442988,0.025825272759292056,0.0723766506487379,0.0024601260275385318,0.004727742900801911,0.014460211302438577,0.04643249734470436,0.002456786275950042,0.0037178627965805114,0.026307547543238313,0.06866025602762098
10,2700,0.005167560696097352,0.007315376977660241,0.04011089496417903,0.09603903417147856,0.004931506991968682,0.00868348567472041,0.022495930156781318,0.06216913597068365,0.004945336934097515,0.007091593547320654,0.04157581318587727,0.09218600957369817
11,2800,0.009085080173911065,0.01219074808449286,0.0576278454206027,0.12293949347672622,0.008820048674088211,0.014271020103958648,0.03270413629877876,0.08062422773555276,0.008863279779489912,0.011957757750892339,0.0603037787790987,0.1190259167397592
12,2900,0.015646222944784974,0.020753268153704093,0.08048214672843326,0.1541224388273756,0.015349361247747913,0.023781611979854456,0.04701377314690242,0.10332178130817211,0.015451436909561028,0.020548948429396394,0.08464006739498167,0.1504393329595014
13,3000,0.025243323747751338,0.032529898409870694,0.10708124168884268,0.18869988805957885,0.0249019268240525,0.03658512808234935,0.0647056768552854,0.12941990435662856,0.02508657869687393,0.03235314953533368,0.11279147054665513,0.18526276599400937
14,3100,0.039314280880814845,0.05113548224556139,0.13944536690038536,0.2264918664319629,0.03894571944735002,0.056484626378103746,0.08822680856782558,0.1603477233864639,0.03924957813174829,0.05108254200444566,0.14672775201817922,0.22354299405491276
15,3200,0.05806875920911772,0.07357069829405054,0.1752881939256435,0.2679581001905857,0.05764931783060516,0.08001040180064947,0.11562299337014822,0.19489802209507326,0.058078325066920615,0.07359574072420942,0.18408565886162245,0.26532614995867004
16,3300,0.08255449839467612,0.10257078137861521,0.21597792029980012,0.3125102346820828,0.08208875025826559,0.11009340444861088,0.14865362182374262,0.23392882802552492,0.08266400524196689,0.10271415499537484,0.22617557325474788,0.3102181857943984
17,3400,0.11345973014551192,0.1387865266365655,0.26156549664368356,0.35991359159978287,0.11297276067389334,0.14733775348412803,0.18771903774635673,0.2775450183104349,0.1136931041347683,0.13908837355503822,0.2729856863223738,0.3579797686349068
18,3500,0.15134937844890872,0.1820131189795334,0.3119824082068616,0.4107012972229862,0.15084423373771258,0.19135599365755823,0.23284432498054178,0.32589779396058305,0.15170462352596395,0.18246549051937494,0.32440900984430543,0.4090674213830078
19,3600,0.19311871541214026,0.23009424309123042,0.36280497676881807,0.45907002399266567,0.1926784672145189,0.2400917433973011,0.28072632149073135,0.3746255340229461,0.1936412118566874,0.23074370261611868,0.37578008943097446,0.4577710149304011
20,3700,0.24687162261240742,0.29152568026875325,0.4232688438285312,0.5143673918658661,0.2465532787657148,0.3020735285817568,0.340083980484675,0.4327776179643962,0.2476130008238028,0.292410591503167,0.43641293592866526,0.5134180760369581
21,3800,0.3101227693825064,0.3637201696565416,0.48863957114768314,0.5709570875445723,0.3100269916229798,0.3746981802628531,0.40743819749915683,0.4958717127555792,0.31115092049187376,0.3648720637928196,0.5011810945515112,0.5703840535144933
22,3900,0.3849306034783545,0.4453722770588168,0.5602194371077037,0.6323873874830143,0.38504245611349847,0.45643778637758475,0.4832705678090401,0.5654233220630125,0.3861924341454644,0.4467249857362413,0.571734470782613,0.6320793504914285
23,4000,0.4695708388424702,0.5336756797170541,0.6346030297283284,0.6952661895662714,0.46989745169087893,0.5443681779525337,0.5647331528432542,0.6381605425636809,0.4709879769703536,0.5351487004128143,0.6445189786323876,0.6951441774906206
